unified cell theory,states,one or more cells comprise all living things,"In the 1670s, van Leeuwenhoek discovered bacteria and protozoa. Later advances in lenses, microscope construction, and staining techniques enabled other scientists to see some components inside cells. By the late 1830s, botanist Matthias Schleiden and zoologist Theodor Schwann were studying tissues and proposed the unified cell theory, which states that one or more cells comprise all living things, the cell is the basic unit of life, and new cells arise from existing cells."
unified cell theory,states,the cell is the basic unit of life,"In the 1670s, van Leeuwenhoek discovered bacteria and protozoa. Later advances in lenses, microscope construction, and staining techniques enabled other scientists to see some components inside cells. By the late 1830s, botanist Matthias Schleiden and zoologist Theodor Schwann were studying tissues and proposed the unified cell theory, which states that one or more cells comprise all living things, the cell is the basic unit of life, and new cells arise from existing cells."
unified cell theory,states,new cells arise from existing cells,"In the 1670s, van Leeuwenhoek discovered bacteria and protozoa. Later advances in lenses, microscope construction, and staining techniques enabled other scientists to see some components inside cells. By the late 1830s, botanist Matthias Schleiden and zoologist Theodor Schwann were studying tissues and proposed the unified cell theory, which states that one or more cells comprise all living things, the cell is the basic unit of life, and new cells arise from existing cells."
Rudolf Virchow,made contributions to,a theory,"Rudolf Virchow later made important contributions to this theory. Have you ever heard of a medical test called a Pap smear (Figure 4.4)? In this test, a doctor takes a small sample of cells from the patient's uterine cervix and sends it to a medical lab where a cytotechnologist stains the cells and examines them for any changes that could indicate cervical cancer or a microbial infection."
Pap smear test,is called,a medical test,"Rudolf Virchow later made important contributions to this theory. Have you ever heard of a medical test called a Pap smear (Figure 4.4)? In this test, a doctor takes a small sample of cells from the patient's uterine cervix and sends it to a medical lab where a cytotechnologist stains the cells and examines them for any changes that could indicate cervical cancer or a microbial infection."
doctor,takes,a small sample of cells from the patient's uterine cervix,"Rudolf Virchow later made important contributions to this theory. Have you ever heard of a medical test called a Pap smear (Figure 4.4)? In this test, a doctor takes a small sample of cells from the patient's uterine cervix and sends it to a medical lab where a cytotechnologist stains the cells and examines them for any changes that could indicate cervical cancer or a microbial infection."
sample,is sent to,a medical lab,"Rudolf Virchow later made important contributions to this theory. Have you ever heard of a medical test called a Pap smear (Figure 4.4)? In this test, a doctor takes a small sample of cells from the patient's uterine cervix and sends it to a medical lab where a cytotechnologist stains the cells and examines them for any changes that could indicate cervical cancer or a microbial infection."
cytotechnologist,stains,the cells,"Rudolf Virchow later made important contributions to this theory. Have you ever heard of a medical test called a Pap smear (Figure 4.4)? In this test, a doctor takes a small sample of cells from the patient's uterine cervix and sends it to a medical lab where a cytotechnologist stains the cells and examines them for any changes that could indicate cervical cancer or a microbial infection."
cytotechnologist,examines,the cells for any changes,"Rudolf Virchow later made important contributions to this theory. Have you ever heard of a medical test called a Pap smear (Figure 4.4)? In this test, a doctor takes a small sample of cells from the patient's uterine cervix and sends it to a medical lab where a cytotechnologist stains the cells and examines them for any changes that could indicate cervical cancer or a microbial infection."
changes,could indicate,cervical cancer,"Rudolf Virchow later made important contributions to this theory. Have you ever heard of a medical test called a Pap smear (Figure 4.4)? In this test, a doctor takes a small sample of cells from the patient's uterine cervix and sends it to a medical lab where a cytotechnologist stains the cells and examines them for any changes that could indicate cervical cancer or a microbial infection."
changes,could indicate,a microbial infection,"Rudolf Virchow later made important contributions to this theory. Have you ever heard of a medical test called a Pap smear (Figure 4.4)? In this test, a doctor takes a small sample of cells from the patient's uterine cervix and sends it to a medical lab where a cytotechnologist stains the cells and examines them for any changes that could indicate cervical cancer or a microbial infection."
Cytotechnologists,study,cells,"Cytotechnologists (cyto- = ""cell"") are professionals who study cells via microscopic examinations and other laboratory tests. They are trained to determine which cellular changes are within normal limits and which are abnormal. Their focus is not limited to cervical cells."
Cytotechnologists,perform,microscopic examinations,"Cytotechnologists (cyto- = ""cell"") are professionals who study cells via microscopic examinations and other laboratory tests. They are trained to determine which cellular changes are within normal limits and which are abnormal. Their focus is not limited to cervical cells."
Cytotechnologists,perform,other laboratory tests,"Cytotechnologists (cyto- = ""cell"") are professionals who study cells via microscopic examinations and other laboratory tests. They are trained to determine which cellular changes are within normal limits and which are abnormal. Their focus is not limited to cervical cells."
Cytotechnologists,are trained to determine,which cellular changes are within normal limits,"Cytotechnologists (cyto- = ""cell"") are professionals who study cells via microscopic examinations and other laboratory tests. They are trained to determine which cellular changes are within normal limits and which are abnormal. Their focus is not limited to cervical cells."
Cytotechnologists,are trained to determine,which cellular changes are abnormal,"Cytotechnologists (cyto- = ""cell"") are professionals who study cells via microscopic examinations and other laboratory tests. They are trained to determine which cellular changes are within normal limits and which are abnormal. Their focus is not limited to cervical cells."
The focus of cytotechnologists,is not limited to,cervical cells,"Cytotechnologists (cyto- = ""cell"") are professionals who study cells via microscopic examinations and other laboratory tests. They are trained to determine which cellular changes are within normal limits and which are abnormal. Their focus is not limited to cervical cells."
Cellular specimens,come from,organs,"They study cellular specimens that come from all organs. When they notice abnormalities, they consult a pathologist, a medical doctor who interprets and diagnoses changes that disease in body tissue and fluids cause. Cytotechnologists play a vital role in saving people's lives."
Abnormalities,are noticed in,cellular specimens,"They study cellular specimens that come from all organs. When they notice abnormalities, they consult a pathologist, a medical doctor who interprets and diagnoses changes that disease in body tissue and fluids cause. Cytotechnologists play a vital role in saving people's lives."
Cellular specimens,are studied by,pathologist,"They study cellular specimens that come from all organs. When they notice abnormalities, they consult a pathologist, a medical doctor who interprets and diagnoses changes that disease in body tissue and fluids cause. Cytotechnologists play a vital role in saving people's lives."
Abnormalities,are noticed by,pathologist,"They study cellular specimens that come from all organs. When they notice abnormalities, they consult a pathologist, a medical doctor who interprets and diagnoses changes that disease in body tissue and fluids cause. Cytotechnologists play a vital role in saving people's lives."
Pathologist,is,medical doctor,"They study cellular specimens that come from all organs. When they notice abnormalities, they consult a pathologist, a medical doctor who interprets and diagnoses changes that disease in body tissue and fluids cause. Cytotechnologists play a vital role in saving people's lives."
Pathologist,is consulted when,abnormalities are noticed,"They study cellular specimens that come from all organs. When they notice abnormalities, they consult a pathologist, a medical doctor who interprets and diagnoses changes that disease in body tissue and fluids cause. Cytotechnologists play a vital role in saving people's lives."
Pathologist,interprets and diagnoses,changes caused by disease in body tissue and fluids,"They study cellular specimens that come from all organs. When they notice abnormalities, they consult a pathologist, a medical doctor who interprets and diagnoses changes that disease in body tissue and fluids cause. Cytotechnologists play a vital role in saving people's lives."
Disease in body tissue and fluids,cause,changes,"They study cellular specimens that come from all organs. When they notice abnormalities, they consult a pathologist, a medical doctor who interprets and diagnoses changes that disease in body tissue and fluids cause. Cytotechnologists play a vital role in saving people's lives."
Cytotechnologists,play a vital role in,saving people's lives,"They study cellular specimens that come from all organs. When they notice abnormalities, they consult a pathologist, a medical doctor who interprets and diagnoses changes that disease in body tissue and fluids cause. Cytotechnologists play a vital role in saving people's lives."
doctors,discover,abnormalities,"When doctors discover abnormalities early, a patient's treatment can begin sooner, which usually increases the chances of a successful outcome. These uterine cervix cells, viewed through a light microscope, are from a Pap smear. Normal cells are on the left."
abnormalities,can begin,treatment,"When doctors discover abnormalities early, a patient's treatment can begin sooner, which usually increases the chances of a successful outcome. These uterine cervix cells, viewed through a light microscope, are from a Pap smear. Normal cells are on the left."
treatment,usually increases,chances,"When doctors discover abnormalities early, a patient's treatment can begin sooner, which usually increases the chances of a successful outcome. These uterine cervix cells, viewed through a light microscope, are from a Pap smear. Normal cells are on the left."
chances,of a successful outcome,,"When doctors discover abnormalities early, a patient's treatment can begin sooner, which usually increases the chances of a successful outcome. These uterine cervix cells, viewed through a light microscope, are from a Pap smear. Normal cells are on the left."
uterine cervix cells,viewed through,light microscope,"When doctors discover abnormalities early, a patient's treatment can begin sooner, which usually increases the chances of a successful outcome. These uterine cervix cells, viewed through a light microscope, are from a Pap smear. Normal cells are on the left."
uterine cervix cells,are from,Pap smear,"When doctors discover abnormalities early, a patient's treatment can begin sooner, which usually increases the chances of a successful outcome. These uterine cervix cells, viewed through a light microscope, are from a Pap smear. Normal cells are on the left."
cells,are on,left,"When doctors discover abnormalities early, a patient's treatment can begin sooner, which usually increases the chances of a successful outcome. These uterine cervix cells, viewed through a light microscope, are from a Pap smear. Normal cells are on the left."
cells,are,normal,"When doctors discover abnormalities early, a patient's treatment can begin sooner, which usually increases the chances of a successful outcome. These uterine cervix cells, viewed through a light microscope, are from a Pap smear. Normal cells are on the left."
cells,are infected with,human papillomavirus (HPV),"The cells on the right are infected with human papillomavirus (HPV). Notice that the infected cells are larger. Also, two of these cells each have two nuclei instead of one, the normal number."
infected cells,are larger,,"The cells on the right are infected with human papillomavirus (HPV). Notice that the infected cells are larger. Also, two of these cells each have two nuclei instead of one, the normal number."
cells,have,two nuclei instead of one,"The cells on the right are infected with human papillomavirus (HPV). Notice that the infected cells are larger. Also, two of these cells each have two nuclei instead of one, the normal number."
two of these cells,each have,two nuclei instead of one,"The cells on the right are infected with human papillomavirus (HPV). Notice that the infected cells are larger. Also, two of these cells each have two nuclei instead of one, the normal number."
nuclei,are,the normal number,"The cells on the right are infected with human papillomavirus (HPV). Notice that the infected cells are larger. Also, two of these cells each have two nuclei instead of one, the normal number."
