abnormalities,can begin,treatment,"When doctors discover abnormalities early, a patient's treatment can begin sooner, which usually increases the chances of a successful outcome. These uterine cervix cells, viewed through a light microscope, are from a Pap smear."
treatment,increases chances of,successful outcome,"When doctors discover abnormalities early, a patient's treatment can begin sooner, which usually increases the chances of a successful outcome. These uterine cervix cells, viewed through a light microscope, are from a Pap smear."
uterine cervix cells,viewed through,light microscope,"When doctors discover abnormalities early, a patient's treatment can begin sooner, which usually increases the chances of a successful outcome. These uterine cervix cells, viewed through a light microscope, are from a Pap smear."
uterine cervix cells,from,pap smear,"When doctors discover abnormalities early, a patient's treatment can begin sooner, which usually increases the chances of a successful outcome. These uterine cervix cells, viewed through a light microscope, are from a Pap smear."
normal cells,on,left,Normal cells are on the left. The cells on the right are infected with human papillomavirus (HPV).
cells on the right,infected with,human papillomavirus (hpv),Normal cells are on the left. The cells on the right are infected with human papillomavirus (HPV).
infected cells,are,larger,"Notice that the infected cells are larger. Also, two of these cells each have two nuclei instead of one, the normal number."
cells,have,nuclei,"Notice that the infected cells are larger. Also, two of these cells each have two nuclei instead of one, the normal number."
cells,have,two nuclei,"Notice that the infected cells are larger. Also, two of these cells each have two nuclei instead of one, the normal number."
cells,have,one nuclei,"Notice that the infected cells are larger. Also, two of these cells each have two nuclei instead of one, the normal number."
cells,have,normal number,"Notice that the infected cells are larger. Also, two of these cells each have two nuclei instead of one, the normal number."
