subject,relation,object,sentence
process,call,endocytosis,"In a process that scientists call phagocytosis or endocytosis, a section of the macrophage's plasma membrane invaginates (folds in) and engulfs a pathogen."
macrophage,invaginates,section of plasma membrane,"In a process that scientists call phagocytosis or endocytosis, a section of the macrophage's plasma membrane invaginates (folds in) and engulfs a pathogen."
section of plasma membrane,engulfs,pathogen,"In a process that scientists call phagocytosis or endocytosis, a section of the macrophage's plasma membrane invaginates (folds in) and engulfs a pathogen."
invaginated section,contains,pathogen,"The invaginated section, with the pathogen inside, then pinches itself off from the plasma membrane and becomes a vesicle."
invaginated section,pinches off from,plasma membrane,"The invaginated section, with the pathogen inside, then pinches itself off from the plasma membrane and becomes a vesicle."
invaginated section,becomes,vesicle,"The invaginated section, with the pathogen inside, then pinches itself off from the plasma membrane and becomes a vesicle."
vesicle,fuses with,lysosome,The vesicle fuses with a lysosome.
lysosome,contains,hydrolytic enzymes,The lysosome's hydrolytic enzymes then destroy the pathogen (Figure 4.21).
hydrolytic enzymes,destroy,pathogen,The lysosome's hydrolytic enzymes then destroy the pathogen (Figure 4.21).
lysosome,destroys,pathogen,The lysosome's hydrolytic enzymes then destroy the pathogen (Figure 4.21).
pathogen,shown in,Figure 4.21,The lysosome's hydrolytic enzymes then destroy the pathogen (Figure 4.21).
macrophage,engulfed,bacterium,A macrophage has engulfed (phagocytized) a potentially pathogenic bacterium and then fuses with lysosomes within the cell to destroy the pathogen.
macrophage,fuses with,lysosomes,A macrophage has engulfed (phagocytized) a potentially pathogenic bacterium and then fuses with lysosomes within the cell to destroy the pathogen.
lysosomes,destroy,bacterium,A macrophage has engulfed (phagocytized) a potentially pathogenic bacterium and then fuses with lysosomes within the cell to destroy the pathogen.
cell,contains,organelles,Other organelles are present in the cell but for simplicity we do not show them.
