subject,relation,object,sentence
H2O2,into,oxygen and water,"Many of these oxidation reactions release hydrogen peroxide, H2O2, which would be damaging to cells; however, when these reactions are confined to peroxisomes, enzymes safely break down the H2O2 into oxygen and water.)"
peroxisomes,detoxify,alcohol,"For example, peroxisomes in liver cells detoxify alcohol."
liver cells,contain,peroxisomes,"For example, peroxisomes in liver cells detoxify alcohol."
Glyoxysomes,are specialized peroxisomes in,plants,"Glyoxysomes, which are specialized peroxisomes in plants, are responsible for converting stored fats into sugars."
Glyoxysomes,are responsible for converting stored fats into,sugars,"Glyoxysomes, which are specialized peroxisomes in plants, are responsible for converting stored fats into sugars."
Plant cells,contain,many different types of peroxisomes,"Plant cells contain many different types of peroxisomes that play a role in metabolism, pathogene defense, and stress response, to mention a few."
peroxisomes,play a role in,metabolism,"Plant cells contain many different types of peroxisomes that play a role in metabolism, pathogene defense, and stress response, to mention a few."
peroxisomes,play a role in,pathogene defense,"Plant cells contain many different types of peroxisomes that play a role in metabolism, pathogene defense, and stress response, to mention a few."
peroxisomes,play a role in,stress response,"Plant cells contain many different types of peroxisomes that play a role in metabolism, pathogene defense, and stress response, to mention a few."
vesicles,function in,storage,Vesicles and vacuoles are membrane-bound sacs that function in storage and transport.
vesicles,function in,transport,Vesicles and vacuoles are membrane-bound sacs that function in storage and transport.
vacuoles,function in,storage,Vesicles and vacuoles are membrane-bound sacs that function in storage and transport.
vacuoles,function in,transport,Vesicles and vacuoles are membrane-bound sacs that function in storage and transport.
vacuoles,larger than,vesicles,"Other than the fact that vacuoles are somewhat larger than vesicles, there is a very subtle distinction between them."
vacuoles,distinct from,vesicles,"Other than the fact that vacuoles are somewhat larger than vesicles, there is a very subtle distinction between them."
Vesicle,can fuse with,plasma membrane,Vesicle membranes can fuse with either the plasma membrane or other membrane systems within the cell.
Vesicle,can fuse with,other membrane systems within the cell,Vesicle membranes can fuse with either the plasma membrane or other membrane systems within the cell.
enzymes,break down,macromolecules,"Additionally, some agents such as enzymes within plant vacuoles break down macromolecules."
enzymes,are within,plant vacuoles,"Additionally, some agents such as enzymes within plant vacuoles break down macromolecules."
vacuole,has membrane,vacuole's membrane,The vacuole's membrane does not fuse with the membranes of other cellular components.
vacuole's membrane,does not fuse with,membranes of other cellular components,The vacuole's membrane does not fuse with the membranes of other cellular components.
eukaryotic cell,has,plasma membrane,"At this point, you know that each eukaryotic cell has a plasma membrane, cytoplasm, a nucleus, ribosomes, mitochondria, peroxisomes, and in some, vacuoles, but there are some striking differences between animal and plant cells."
eukaryotic cell,has,cytoplasm,"At this point, you know that each eukaryotic cell has a plasma membrane, cytoplasm, a nucleus, ribosomes, mitochondria, peroxisomes, and in some, vacuoles, but there are some striking differences between animal and plant cells."
eukaryotic cell,has,nucleus,"At this point, you know that each eukaryotic cell has a plasma membrane, cytoplasm, a nucleus, ribosomes, mitochondria, peroxisomes, and in some, vacuoles, but there are some striking differences between animal and plant cells."
eukaryotic cell,has,ribosomes,"At this point, you know that each eukaryotic cell has a plasma membrane, cytoplasm, a nucleus, ribosomes, mitochondria, peroxisomes, and in some, vacuoles, but there are some striking differences between animal and plant cells."
eukaryotic cell,has,mitochondria,"At this point, you know that each eukaryotic cell has a plasma membrane, cytoplasm, a nucleus, ribosomes, mitochondria, peroxisomes, and in some, vacuoles, but there are some striking differences between animal and plant cells."
eukaryotic cell,has,peroxisomes,"At this point, you know that each eukaryotic cell has a plasma membrane, cytoplasm, a nucleus, ribosomes, mitochondria, peroxisomes, and in some, vacuoles, but there are some striking differences between animal and plant cells."
eukaryotic cell,has,vacuoles,"At this point, you know that each eukaryotic cell has a plasma membrane, cytoplasm, a nucleus, ribosomes, mitochondria, peroxisomes, and in some, vacuoles, but there are some striking differences between animal and plant cells."
animal cells,are different from,plant cells,"At this point, you know that each eukaryotic cell has a plasma membrane, cytoplasm, a nucleus, ribosomes, mitochondria, peroxisomes, and in some, vacuoles, but there are some striking differences between animal and plant cells."
animal cells,have,microtubule organizing centers,"While both animal and plant cells have microtubule organizing centers (MTOCs), animal cells also have centrioles associated with the MTOC: a complex we call the centrosome."
plant cells,have,microtubule organizing centers,"While both animal and plant cells have microtubule organizing centers (MTOCs), animal cells also have centrioles associated with the MTOC: a complex we call the centrosome."
animal cells,have,centrioles,"While both animal and plant cells have microtubule organizing centers (MTOCs), animal cells also have centrioles associated with the MTOC: a complex we call the centrosome."
centrioles,associated with,MTOC,"While both animal and plant cells have microtubule organizing centers (MTOCs), animal cells also have centrioles associated with the MTOC: a complex we call the centrosome."
MTOC,associated with,centrosome,"While both animal and plant cells have microtubule organizing centers (MTOCs), animal cells also have centrioles associated with the MTOC: a complex we call the centrosome."
animal cells,have,centrosome,"While both animal and plant cells have microtubule organizing centers (MTOCs), animal cells also have centrioles associated with the MTOC: a complex we call the centrosome."
Animal cells,have,centrosome,"Animal cells each have a centrosome and lysosomes; whereas, most plant cells do not."
Animal cells,have,lysosomes,"Animal cells each have a centrosome and lysosomes; whereas, most plant cells do not."
most plant cells,do not have,centrosome,"Animal cells each have a centrosome and lysosomes; whereas, most plant cells do not."
most plant cells,do not have,lysosomes,"Animal cells each have a centrosome and lysosomes; whereas, most plant cells do not."
Plant cells,have,cell wall,"Plant cells have a cell wall, chloroplasts and other specialized plastids, and a large central vacuole; whereas, animal cells do not."
Plant cells,have,chloroplasts,"Plant cells have a cell wall, chloroplasts and other specialized plastids, and a large central vacuole; whereas, animal cells do not."
Plant cells,have,specialized plastids,"Plant cells have a cell wall, chloroplasts and other specialized plastids, and a large central vacuole; whereas, animal cells do not."
Plant cells,have,large central vacuole,"Plant cells have a cell wall, chloroplasts and other specialized plastids, and a large central vacuole; whereas, animal cells do not."
animal cells,do not have,cell wall,"Plant cells have a cell wall, chloroplasts and other specialized plastids, and a large central vacuole; whereas, animal cells do not."
animal cells,do not have,chloroplasts,"Plant cells have a cell wall, chloroplasts and other specialized plastids, and a large central vacuole; whereas, animal cells do not."
animal cells,do not have,specialized plastids,"Plant cells have a cell wall, chloroplasts and other specialized plastids, and a large central vacuole; whereas, animal cells do not."
animal cells,do not have,large central vacuole,"Plant cells have a cell wall, chloroplasts and other specialized plastids, and a large central vacuole; whereas, animal cells do not."
centrosome,is found near,nuclei of animal cells,The centrosome is a microtubule-organizing center found near the nuclei of animal cells.
centrosome,is a microtubule-organizing center,in animal cells,The centrosome is a microtubule-organizing center found near the nuclei of animal cells.
centrioles,contains,pair,"It contains a pair of centrioles, two structures that lie perpendicular to each other (Figure 4.15)."
centrioles,lie perpendicular to,structures,"It contains a pair of centrioles, two structures that lie perpendicular to each other (Figure 4.15)."
structures,lie perpendicular to,centrioles,"It contains a pair of centrioles, two structures that lie perpendicular to each other (Figure 4.15)."
centrioles,shown in,Figure 4.15,"It contains a pair of centrioles, two structures that lie perpendicular to each other (Figure 4.15)."
centriole,is composed of,cylinder of nine triplets of microtubules,Each centriole is a cylinder of nine triplets of microtubules.
cylinder of nine triplets of microtubules,is made of,microtubules,Each centriole is a cylinder of nine triplets of microtubules.
centrosome,consists of,two centrioles,The centrosome consists of two centrioles that lie at right angles to each other.
centrioles,lie at right angles to,each other,The centrosome consists of two centrioles that lie at right angles to each other.
centriole,is comprised of,triplets of microtubules,Each centriole is a cylinder comprised of nine triplets of microtubules.
triplets of microtubules,are part of,cylinder,Each centriole is a cylinder comprised of nine triplets of microtubules.
Nontubulin proteins,hold together,microtubule triplets,Nontubulin proteins (indicated by the green lines) hold the microtubule triplets together.
centrosome,is the organelle where all microtubules originate,microtubules,"The centrosome (the organelle where all microtubules originate) replicates itself before a cell divides, and the centrioles appear to have some role in pulling the duplicated chromosomes to opposite ends of the dividing cell."
centrosome,replicates itself before a cell divides,itself,"The centrosome (the organelle where all microtubules originate) replicates itself before a cell divides, and the centrioles appear to have some role in pulling the duplicated chromosomes to opposite ends of the dividing cell."
centrioles,have some role in pulling the duplicated chromosomes to opposite ends of the dividing cell,duplicated chromosomes,"The centrosome (the organelle where all microtubules originate) replicates itself before a cell divides, and the centrioles appear to have some role in pulling the duplicated chromosomes to opposite ends of the dividing cell."
centriole,function in,cell division,"However, the centriole's exact function in cell division isn't clear, because cells that have had the centrosome removed can still divide, and plant cells, which lack centrosomes, are capable of cell division."
centrosome,removed from,cells,"However, the centriole's exact function in cell division isn't clear, because cells that have had the centrosome removed can still divide, and plant cells, which lack centrosomes, are capable of cell division."
cells,still divide,,"However, the centriole's exact function in cell division isn't clear, because cells that have had the centrosome removed can still divide, and plant cells, which lack centrosomes, are capable of cell division."
plant cells,lack,centrosomes,"However, the centriole's exact function in cell division isn't clear, because cells that have had the centrosome removed can still divide, and plant cells, which lack centrosomes, are capable of cell division."
plant cells,capable of,cell division,"However, the centriole's exact function in cell division isn't clear, because cells that have had the centrosome removed can still divide, and plant cells, which lack centrosomes, are capable of cell division."
animal cells,have,lysosomes,Animal cells have another set of organelles that most plant cells do not: lysosomes.
lysosomes,are organelles of,animal cells,Animal cells have another set of organelles that most plant cells do not: lysosomes.
most plant cells,do not have,lysosomes,Animal cells have another set of organelles that most plant cells do not: lysosomes.
lysosomes,are the cell's,garbage disposal,"The lysosomes are the cell's ""garbage disposal."""
plant cells,take place in,vacuoles,"In plant cells, the digestive processes take place in vacuoles."
Enzymes,aid in breaking down,proteins,"Enzymes within the lysosomes aid in breaking down proteins, polysaccharides, lipids, nucleic acids, and even worn-out organelles."
Enzymes,aid in breaking down,polysaccharides,"Enzymes within the lysosomes aid in breaking down proteins, polysaccharides, lipids, nucleic acids, and even worn-out organelles."
Enzymes,aid in breaking down,lipids,"Enzymes within the lysosomes aid in breaking down proteins, polysaccharides, lipids, nucleic acids, and even worn-out organelles."
Enzymes,aid in breaking down,nucleic acids,"Enzymes within the lysosomes aid in breaking down proteins, polysaccharides, lipids, nucleic acids, and even worn-out organelles."
Enzymes,aid in breaking down,worn-out organelles,"Enzymes within the lysosomes aid in breaking down proteins, polysaccharides, lipids, nucleic acids, and even worn-out organelles."
lysosomes,contain,enzymes,"Enzymes within the lysosomes aid in breaking down proteins, polysaccharides, lipids, nucleic acids, and even worn-out organelles."
enzymes,active at,lower pH than cytoplasm,These enzymes are active at a much lower pH than the cytoplasm's.
lysosomes,has pH less acidic than,cytoplasm,"Therefore, the pH within lysosomes is more acidic than the cytoplasm's pH."
cytoplasm,has pH more acidic than,lysosomes,"Therefore, the pH within lysosomes is more acidic than the cytoplasm's pH."
reactions,take place in,cytoplasm,"Many reactions that take place in the cytoplasm could not occur at a low pH, so again, the advantage of compartmentalizing the eukaryotic cell into organelles is apparent."
cytoplasm,could not occur at,low pH,"Many reactions that take place in the cytoplasm could not occur at a low pH, so again, the advantage of compartmentalizing the eukaryotic cell into organelles is apparent."
advantage of,compartmentalizing,eukaryotic cell,"Many reactions that take place in the cytoplasm could not occur at a low pH, so again, the advantage of compartmentalizing the eukaryotic cell into organelles is apparent."
eukaryotic cell,is divided into,organelles,"Many reactions that take place in the cytoplasm could not occur at a low pH, so again, the advantage of compartmentalizing the eukaryotic cell into organelles is apparent."
Figure 4.8,depicts,plant cell diagram,"If you examine Figure 4.8, the plant cell diagram, you will see a structure external to the plasma membrane."
plant cell diagram,has external structure,plasma membrane,"If you examine Figure 4.8, the plant cell diagram, you will see a structure external to the plasma membrane."
cell wall,is a protective covering,cell,"This is the cell wall, a rigid covering that protects the cell, provides structural support, and gives shape to the cell."
cell wall,provides structural support to,cell,"This is the cell wall, a rigid covering that protects the cell, provides structural support, and gives shape to the cell."
cell wall,gives shape to,cell,"This is the cell wall, a rigid covering that protects the cell, provides structural support, and gives shape to the cell."
Fungal,have cell walls,cells,Fungal and some protistan cells also have cell walls.
protistan,have cell walls,cells,Fungal and some protistan cells also have cell walls.
prokaryotic cell walls,chief component is,peptidoglycan,"While the prokaryotic cell walls' chief component is peptidoglycan, the major organic molecule in the plant (and some protists') cell wall is cellulose (Figure 4.16), a polysaccharide comprised of glucose units."
plant cell wall,major organic molecule is,cellulose,"While the prokaryotic cell walls' chief component is peptidoglycan, the major organic molecule in the plant (and some protists') cell wall is cellulose (Figure 4.16), a polysaccharide comprised of glucose units."
cellulose,comprised of,glucose units,"While the prokaryotic cell walls' chief component is peptidoglycan, the major organic molecule in the plant (and some protists') cell wall is cellulose (Figure 4.16), a polysaccharide comprised of glucose units."
plant cell wall,contains,cellulose,"While the prokaryotic cell walls' chief component is peptidoglycan, the major organic molecule in the plant (and some protists') cell wall is cellulose (Figure 4.16), a polysaccharide comprised of glucose units."
some protists,cell wall contains,cellulose,"While the prokaryotic cell walls' chief component is peptidoglycan, the major organic molecule in the plant (and some protists') cell wall is cellulose (Figure 4.16), a polysaccharide comprised of glucose units."
Figure 4.16,depicts,cellulose structure,"While the prokaryotic cell walls' chief component is peptidoglycan, the major organic molecule in the plant (and some protists') cell wall is cellulose (Figure 4.16), a polysaccharide comprised of glucose units."
you,noticed,that celery crunches,"Have you ever noticed that when you bite into a raw vegetable, like celery, it crunches?"
celery,is a,raw vegetable,"Have you ever noticed that when you bite into a raw vegetable, like celery, it crunches?"
teeth,tear,celery cells' rigid cell walls,That's because you are tearing the celery cells' rigid cell walls with your teeth.
Cellulose,is a chain of,β-glucose molecules,Cellulose is a long chain of β-glucose molecules connected by a 1-4 linkage.
β-glucose,connected by,1-4 linkage,Cellulose is a long chain of β-glucose molecules connected by a 1-4 linkage.
dashed lines,indicate,a series of many more glucose units,The dashed lines at each end of the figure indicate a series of many more glucose units.
page,portray,cellulose molecule,The size of the page makes it impossible to portray an entire cellulose molecule.
mitochondria,have,own DNA,"Like the mitochondria, chloroplasts have their own DNA and ribosomes, but chloroplasts have an entirely different function."
mitochondria,have,ribosomes,"Like the mitochondria, chloroplasts have their own DNA and ribosomes, but chloroplasts have an entirely different function."
chloroplasts,have,own DNA,"Like the mitochondria, chloroplasts have their own DNA and ribosomes, but chloroplasts have an entirely different function."
chloroplasts,have,ribosomes,"Like the mitochondria, chloroplasts have their own DNA and ribosomes, but chloroplasts have an entirely different function."
chloroplasts,have,different function,"Like the mitochondria, chloroplasts have their own DNA and ribosomes, but chloroplasts have an entirely different function."
Chloroplasts,are organelles of,plant cells,Chloroplasts are plant cell organelles that carry out photosynthesis.
Chloroplasts,carry out,photosynthesis,Chloroplasts are plant cell organelles that carry out photosynthesis.
Photosynthesis,uses,carbon dioxide,"Photosynthesis is the series of reactions that use carbon dioxide, water, and light energy to make glucose and oxygen."
Photosynthesis,uses,water,"Photosynthesis is the series of reactions that use carbon dioxide, water, and light energy to make glucose and oxygen."
Photosynthesis,uses,light energy,"Photosynthesis is the series of reactions that use carbon dioxide, water, and light energy to make glucose and oxygen."
Photosynthesis,produces,glucose,"Photosynthesis is the series of reactions that use carbon dioxide, water, and light energy to make glucose and oxygen."
Photosynthesis,produces,oxygen,"Photosynthesis is the series of reactions that use carbon dioxide, water, and light energy to make glucose and oxygen."
Plants,are able to make,their own food,"Plants (autotrophs) are able to make their own food, like sugars, while animals (heterotrophs) must ingest their food."
chloroplasts,have,outer and inner membranes,"Like mitochondria, chloroplasts have outer and inner membranes, but within the space enclosed by a chloroplast's inner membrane is a set of interconnected and stacked fluid-filled membrane sacs we call thylakoids (Figure 4.17)."
inner membrane,encloses,set of interconnected and stacked fluid-filled membrane sacs,"Like mitochondria, chloroplasts have outer and inner membranes, but within the space enclosed by a chloroplast's inner membrane is a set of interconnected and stacked fluid-filled membrane sacs we call thylakoids (Figure 4.17)."
set of interconnected and stacked fluid-filled membrane sacs,called,thylakoids,"Like mitochondria, chloroplasts have outer and inner membranes, but within the space enclosed by a chloroplast's inner membrane is a set of interconnected and stacked fluid-filled membrane sacs we call thylakoids (Figure 4.17)."
Figure 4.17,depicts,thylakoids,"Like mitochondria, chloroplasts have outer and inner membranes, but within the space enclosed by a chloroplast's inner membrane is a set of interconnected and stacked fluid-filled membrane sacs we call thylakoids (Figure 4.17)."
thylakoid stack,is a,granum,Each thylakoid stack is a granum (plural = grana).
granum,is plural of,thylakoid stack,Each thylakoid stack is a granum (plural = grana).
stroma,is enclosed by,inner membrane,We call the fluid enclosed by the inner membrane that surrounds the grana the stroma.
inner membrane,surrounds,grana,We call the fluid enclosed by the inner membrane that surrounds the grana the stroma.
chloroplast,has outer membrane,outer membrane,"The chloroplast has an outer membrane, an inner membrane, and membrane structures - thylakoids that are stacked into grana."
chloroplast,has inner membrane,inner membrane,"The chloroplast has an outer membrane, an inner membrane, and membrane structures - thylakoids that are stacked into grana."
chloroplast,has thylakoids,thylakoids,"The chloroplast has an outer membrane, an inner membrane, and membrane structures - thylakoids that are stacked into grana."
thylakoids,are stacked into,grana,"The chloroplast has an outer membrane, an inner membrane, and membrane structures - thylakoids that are stacked into grana."
thylakoid membranes,is part of,thylakoid space,We call the space inside the thylakoid membranes the thylakoid space.
light harvesting reactions,take place in,thylakoid membranes,"The light harvesting reactions take place in the thylakoid membranes, and sugar synthesis takes place in the fluid inside the inner membrane, which we call the stroma."
sugar synthesis,takes place in,fluid inside inner membrane,"The light harvesting reactions take place in the thylakoid membranes, and sugar synthesis takes place in the fluid inside the inner membrane, which we call the stroma."
inner membrane,is called,stroma,"The light harvesting reactions take place in the thylakoid membranes, and sugar synthesis takes place in the fluid inside the inner membrane, which we call the stroma."
Chloroplasts,have,own genome,"Chloroplasts also have their own genome, which is contained on a single circular chromosome."
genome,contained on,single circular chromosome,"Chloroplasts also have their own genome, which is contained on a single circular chromosome."
chloroplasts,contain,chlorophyll,"The chloroplasts contain a green pigment, chlorophyll, which captures the light energy that drives the reactions of photosynthesis."
chlorophyll,captures,light energy,"The chloroplasts contain a green pigment, chlorophyll, which captures the light energy that drives the reactions of photosynthesis."
light energy,drives,reactions of photosynthesis,"The chloroplasts contain a green pigment, chlorophyll, which captures the light energy that drives the reactions of photosynthesis."
photosynthetic protists,have,chloroplasts,"Like plant cells, photosynthetic protists also have chloroplasts."
photosynthetic protists,are like,plant cells,"Like plant cells, photosynthetic protists also have chloroplasts."
plant cells,have,chloroplasts,"Like plant cells, photosynthetic protists also have chloroplasts."
bacteria,perform photosynthesis, ,"Some bacteria perform photosynthesis, but their chlorophyll is not relegated to an organelle."
chlorophyll,is not relegated to,organelle,"Some bacteria perform photosynthesis, but their chlorophyll is not relegated to an organelle."
mitochondria,contain,DNA,We have mentioned that both mitochondria and chloroplasts contain DNA and ribosomes.
mitochondria,contain,ribosomes,We have mentioned that both mitochondria and chloroplasts contain DNA and ribosomes.
chloroplasts,contain,DNA,We have mentioned that both mitochondria and chloroplasts contain DNA and ribosomes.
chloroplasts,contain,ribosomes,We have mentioned that both mitochondria and chloroplasts contain DNA and ribosomes.
you,wondered about,why,Have you wondered why?
endosymbiosis,explains,strong evidence,Strong evidence points to endosymbiosis as the explanation.
Symbiosis,is a relationship in which,organisms from two separate species depend on each other for their survival.,Symbiosis is a relationship in which organisms from two separate species depend on each other for their survival.
Endosymbiosis,is a,mutually beneficial relationship,"Endosymbiosis (endo- = ""within"") is a mutually beneficial relationship in which one organism lives inside the other."
one organism,lives inside,the other,"Endosymbiosis (endo- = ""within"") is a mutually beneficial relationship in which one organism lives inside the other."
Endosymbiotic relationships,abound in,nature,Endosymbiotic relationships abound in nature.
microbes,produce,vitamin K,We have already mentioned that microbes that produce vitamin K live inside the human gut.
vitamin K,live inside,human gut,We have already mentioned that microbes that produce vitamin K live inside the human gut.
we,beneficial for,vitamin K,"This relationship is beneficial for us because we are unable to synthesize vitamin K. It is also beneficial for the microbes because they are protected from other organisms and from drying out, and they receive abundant food from the environment of the large intestine."
microbes,beneficial for,protection from other organisms,"This relationship is beneficial for us because we are unable to synthesize vitamin K. It is also beneficial for the microbes because they are protected from other organisms and from drying out, and they receive abundant food from the environment of the large intestine."
microbes,beneficial for,protection from drying out,"This relationship is beneficial for us because we are unable to synthesize vitamin K. It is also beneficial for the microbes because they are protected from other organisms and from drying out, and they receive abundant food from the environment of the large intestine."
microbes,beneficial for,abundant food from environment of large intestine,"This relationship is beneficial for us because we are unable to synthesize vitamin K. It is also beneficial for the microbes because they are protected from other organisms and from drying out, and they receive abundant food from the environment of the large intestine."
bacteria,are similar in size to,mitochondria,"Scientists have long noticed that bacteria, mitochondria, and chloroplasts are similar in size."
bacteria,are similar in size to,chloroplasts,"Scientists have long noticed that bacteria, mitochondria, and chloroplasts are similar in size."
mitochondria,are similar in size to,chloroplasts,"Scientists have long noticed that bacteria, mitochondria, and chloroplasts are similar in size."
bacteria,have DNA,,"We also know that bacteria have DNA and ribosomes, just like mitochondria and chloroplasts."
bacteria,have ribosomes,,"We also know that bacteria have DNA and ribosomes, just like mitochondria and chloroplasts."
mitochondria,have DNA,,"We also know that bacteria have DNA and ribosomes, just like mitochondria and chloroplasts."
mitochondria,have ribosomes,,"We also know that bacteria have DNA and ribosomes, just like mitochondria and chloroplasts."
chloroplasts,have DNA,,"We also know that bacteria have DNA and ribosomes, just like mitochondria and chloroplasts."
chloroplasts,have ribosomes,,"We also know that bacteria have DNA and ribosomes, just like mitochondria and chloroplasts."
Scientists,believe that,host cells and bacteria formed an endosymbiotic relationship,Scientists believe that host cells and bacteria formed an endosymbiotic relationship when the host cells ingested both aerobic and autotrophic bacteria (cyanobacteria) but did not destroy them.
host cells,ingested,both aerobic and autotrophic bacteria,Scientists believe that host cells and bacteria formed an endosymbiotic relationship when the host cells ingested both aerobic and autotrophic bacteria (cyanobacteria) but did not destroy them.
host cells,ingested,cyanobacteria,Scientists believe that host cells and bacteria formed an endosymbiotic relationship when the host cells ingested both aerobic and autotrophic bacteria (cyanobacteria) but did not destroy them.
host cells,did not destroy,both aerobic and autotrophic bacteria,Scientists believe that host cells and bacteria formed an endosymbiotic relationship when the host cells ingested both aerobic and autotrophic bacteria (cyanobacteria) but did not destroy them.
host cells,did not destroy,cyanobacteria,Scientists believe that host cells and bacteria formed an endosymbiotic relationship when the host cells ingested both aerobic and autotrophic bacteria (cyanobacteria) but did not destroy them.
bacteria,became specialized in functions,mitochondria,"Through many millions of years of evolution, these ingested bacteria became more specialized in their functions, with the aerobic bacteria becoming mitochondria and the autotrophic bacteria becoming chloroplasts."
bacteria,became specialized in functions,chloroplasts,"Through many millions of years of evolution, these ingested bacteria became more specialized in their functions, with the aerobic bacteria becoming mitochondria and the autotrophic bacteria becoming chloroplasts."
vacuoles,are essential components of,plant cells,"Previously, we mentioned vacuoles as essential components of plant cells."
plant cells,have,central vacuole,"If you look at Figure 4.8b, you will see that plant cells each have a large central vacuole that occupies most of the cell's area."
central vacuole,occupies,most of cell's area,"If you look at Figure 4.8b, you will see that plant cells each have a large central vacuole that occupies most of the cell's area."
central vacuole,regulates,cell's concentration of water,The central vacuole plays a key role in regulating the cell's concentration of water in changing environmental conditions.
cell,is regulated by,central vacuole,The central vacuole plays a key role in regulating the cell's concentration of water in changing environmental conditions.
cell's concentration of water,is regulated by,central vacuole,The central vacuole plays a key role in regulating the cell's concentration of water in changing environmental conditions.
central vacuole,plays key role in,regulating cell's concentration of water,The central vacuole plays a key role in regulating the cell's concentration of water in changing environmental conditions.
regulating cell's concentration of water,is important in,changing environmental conditions,The central vacuole plays a key role in regulating the cell's concentration of water in changing environmental conditions.
changing environmental conditions,affect,cell's concentration of water,The central vacuole plays a key role in regulating the cell's concentration of water in changing environmental conditions.
plant,wilts,if you forget to water it for a few days,"Have you ever noticed that if you forget to water a plant for a few days, it wilts?"
water concentration,becomes lower than,water concentration in the plant,"That's because as the water concentration in the soil becomes lower than the water concentration in the plant, water moves out of the central vacuoles and cytoplasm."
water,moves out of,central vacuoles,"That's because as the water concentration in the soil becomes lower than the water concentration in the plant, water moves out of the central vacuoles and cytoplasm."
water,moves out of,cytoplasm,"That's because as the water concentration in the soil becomes lower than the water concentration in the plant, water moves out of the central vacuoles and cytoplasm."
soil,becomes lower than,water concentration in the plant,"That's because as the water concentration in the soil becomes lower than the water concentration in the plant, water moves out of the central vacuoles and cytoplasm."
plant,has higher water concentration than,soil,"That's because as the water concentration in the soil becomes lower than the water concentration in the plant, water moves out of the central vacuoles and cytoplasm."
central vacuole,shrinks,cell wall,"As the central vacuole shrinks, it leaves the cell wall unsupported."
cell wall,unsupported by,central vacuole,"As the central vacuole shrinks, it leaves the cell wall unsupported."
plant,has cell walls,cell walls,This loss of support to the plant's cell walls results in the wilted appearance.
cell walls,loses support to,result in wilted appearance,This loss of support to the plant's cell walls results in the wilted appearance.
central vacuole,supports,cell's expansion,The central vacuole also supports the cell's expansion.
central vacuole,holds,water,"When the central vacuole holds more water, the cell becomes larger without having to invest considerable energy in synthesizing new cytoplasm."
cell,becomes larger without having to invest considerable energy in synthesizing new cytoplasm,when the central vacuole holds more water,"When the central vacuole holds more water, the cell becomes larger without having to invest considerable energy in synthesizing new cytoplasm."
